Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Oumaima Taleb and Fahad Alkubaisi Concert,Get ready for an unforgettable evening at KAFD Nights Under the Stars Sponsored by Emirates NBD! Join us for a spectacular live performance by the talented Oumaima Taleb and the incredible Fahad Alkubaisi. Don’t miss this extraordinary event!,Riyadh,Adults,30 SAR per person,1/22/2025,1/22/2025,5:00 AM to 7:00 PM
Rivermaya live concert,Get ready for an unforgettable evening with the legendary Rivermaya in Riyadh! Enjoy the best of Filipino hits live at Abu Bakr Salem Stage on February 6. Book your tickets now and experience the thrill of a night filled with amazing music!,Riyadh,All,50 SAR per person,6/2/2025,6/2/2025,6:00 AM to 8:00 PM
MDLBEAST - Beast House Thursday,"Your weekend is set at Beast House, Riyadh’s first music & creative members club. Join in on the fun! Be on time and reserve your seat early to enjoy the music of our line up this week: Darko Delix, Leigh Ross and Desert Dweller DRESS CODE: We don’t impose a dress code, per se. But, like… don’t turn up in your pyjamas or shorts, you know? Think more ‘powerhouse professional’ and less ‘poolside party’. - This is a 21+ event. - Free Entry before 10:00 PM for Ladies",Riyadh,Above 12,50 SAR per person,1/23/2025,1/23/2025,5:30 AM to 7:30 PM
MDLBEAST - Beast House Friday,"Your weekend is set at Beast House, Riyadh’s first music & creative members club. Join in on the fun! Be on time and reserve your seat early to enjoy the music of our line up this week: Kirollus, Dul and Solskin.  DRESS CODE: We don’t impose a dress code, per se. But, like… don’t turn up in your pyjamas or shorts, you know? Think more ‘powerhouse professional’ and less ‘poolside party’. - This is a 21+ event. - Free Entry before 10:00 PM for ladies",Riyadh,Above 12,30 SAR per person,1/24/2025,1/24/2025,7:00 AM to 9:00 PM
Balad Beast 2025,"The Beasts are back! The beats are in Balad with our four stages lighting up the historic district. Dance around Balad and hop square to square - with different talents, groove and sounds.",Jeddah,Above 12,70 SAR per person,1/23/2025,1/23/2025,6:30 AM to 8:30 PM
Unforgettable Night with Queen Ahlam in Riyadh Season,Live unforgettable moments at the “Queen” Ahlam’s concert on January 23 as part of Riyadh Season. Enjoy her incredible songs and a one-of-a-kind artistic atmosphere. Book now to be part of this extraordinary night!,Riyadh,Adults,Free Pass,1/23/2025,1/23/2025,5:00 AM to 6:00 PM
One Mic Comedy Shows,"Get ready for an epic comedy weekend! Join us for ""Broken Phone"" on Thursday and the unforgettable ""One Mic Special"" on Friday. Saudi Arabia's top comedians bring you stand-up, improv, and interactive segments—all under the One Mic banner. Event Highlights: Thursday - ""Broken Phone"": Stand-up comedy with the best talent in Saudi Arabia! Friday - ""One Mic Special"": An interactive comedy experience that takes laughter to new heights. And the best part? Free drinks, popcorn, and ice cream for everyone! Just park, grab your snacks, and get ready to laugh until your sides hurt! Show Times: First Show: 8:15 PM Second Show: 10:15 PM Presented in Arabic. Don’t miss out on this incredible night! Bring your friends and family, and make it a weekend to remember!",Riyadh,Above 12,150 SAR per person,2/6/2025,2/6/2025,6:00 AM to 7:00 PM
Bani Adam,"A comedic play about Najy and his daughter Farah, who inherit an abandoned theater haunted by a bitter spirit named ""Ghandour."" As Farah strives to revive the theater, Ghandour takes on a human form to sabotage her efforts, only to discover a new side of humanity he never knew before",Riyadh,Above 15,40 SAR per person,1/23/2025,1/23/2025,5:00 AM to 7:00 PM
New Jokes Comedy Show Saturday - Comedy Pod,A two-hour stand up show in which we see new comedians and hear new jokes! The comedians are announce a day before the show on our instagram story: @podforcomedy Language: ??????? | Arabic,Riyadh,All,40 SAR per person,1/25/2025,1/25/2025,6:00 AM to 8:00 PM
Very Sary Night - Stand Up Comedy Show This Saturday at Comedy Pod,"A stand-up comedy show with a twist... Hosted by the amazing star, Sary Al-Khaled, along with a special guest. Sary draws a random name from a bucket of participants. Whether they're professional comedians or audience members, participants try to make the audience laugh in one minute... Finally, Sary does a quick fun interview with the participant.",Riyadh,Adults,50 SAR per person,10/30/2024,10/30/2024,5:30 AM to 7:30 PM
Stand Up Comedy Show This weekend - Comedy Pod,A legendary stand-up show presented by a number of local and Arab comedy stars at Comedy Pod The comedians are announce a day before the show on our instagram story: @podforcomedy Language: ??????? | Arabic,Riyadh,Adults,30 SAR per person,2/25/2025,2/25/2025,7:00 AM to 9:00 PM
Al Ittihad vs Al Shabab - Roshn Saudi League Round 16,"Al-Ittihad fans will be back in the #Tigers_Stronghold rallying behind their team as they take on AlShabab FC in the 16th round of the Saudi Roshn League. Make sure to grab your seat early to enjoy the thrilling game and the vibrant pre-game atmosphere in the fan zone, with exciting activities for fans of all ages. The game kicks off at 8:00 PM, with the stadium gates opening at 5:00 PM Tickets for people with disabilities: Click Here",Jeddah,All,120 SAR per person,1/22/2025,1/22/2025,6:30 AM to 8:30 PM
Al Ettifaq vs Al Ahli - Roshn Saudi League Round 16,Book your seat for the Al Ettifaq vs Al Ahli Roshn Saudi League Round 16 on webook.com. Secure your tickets now for an unforgettable match day experience!,Dammam ,Above 15,Free Pass,1/20/2025,1/20/2025,5:00 AM to 6:00 PM
AFC Champions League Elite 24/25 - Al Nassr vs Al Wasl,"Secure your seats for the electrifying AFC Champions League match as AlNassr takes on AlWasl on February 3 at 9 pm at Alawwal Park. Don't miss your chance & join thousands of passionate fans, & witness star players in action in this highly anticipated showdown.",Riyadh,Above 15,50 SAR per person,2/3/2025,2/3/2025,6:00 AM to 7:00 PM
Al Shabab vs Al Fayha - Roshn Saudi League Round 17,Book your seat for the Al Shabab vs Al Fayha Roshn Saudi League Round 17 on webook.com. Secure your tickets now for an unforgettable match day experience! Tickets for people with disabilities: Click Here,Riyadh,All,50 SAR per person,1/27/2025,1/27/2025,5:00 AM to 7:00 PM
